Date,Open,High,Low,Close,Adj Close,Volume,ts_polarity,twitter_volume
14/03/23,2144.350098,2171,2134.399902,2144.199951,2139.375488,2871343,0.070389,1133
15/03/23,2164.199951,2212.449951,2160,2176.649902,2171.752441,3044201,0.070389,1430
16/03/23,2184.899902,2187,2132,2173.600098,2168.709473,2946792,0.070389,1949
17/03/23,2186.699951,2228.899902,2186.699951,2195.75,2190.80957,3286473,0.070389,2289
20/03/23,2191.100098,2205,2152,2177.550049,2172.650635,1996773,0.070389,2235
21/03/23,2182.699951,2227,2182,2208.449951,2203.480957,3178680,0.070389,1222
22/03/23,2219.5,2246.25,2207.899902,2213.949951,2208.968506,1956033,0.070389,1293
23/03/23,2214,2242,2200.550049,2206.649902,2201.684814,2455799,0.070389,1292
24/03/23,2206,2219.350098,2153.050049,2166.149902,2161.276123,1449544,0.070389,1264
27/03/23,2175.050049,2190,2150,2154,2149.153564,1540581,0.070389,1336
28/03/23,2167.75,2169.800049,2122.449951,2133.600098,2128.799561,1627243,0.070389,960
29/03/23,2137.649902,2159.300049,2121,2147.449951,2142.618164,2372385,0.070389,1412
31/03/23,2156.5,2176.949951,2150.550049,2164.199951,2159.330566,1489542,0.070389,1082
03/04/23,2180,2183.5,2155,2170.149902,2165.26709,1231654,0.070389,1200
05/04/23,2170,2262.5,2165,2257.75,2252.669922,2763363,0.070389,874
06/04/23,2257.75,2291.649902,2254.449951,2274.25,2269.132813,2389899,0.070389,1743
10/04/23,2284.899902,2319.899902,2278.050049,2309.699951,2304.503174,1955914,0.070389,5511
11/04/23,2320,2330,2287.300049,2301.5,2296.321533,1342440,0.070389,2143
12/04/23,2304,2312.699951,2281.949951,2288.5,2283.35083,1165839,0.070389,1542
13/04/23,2294.800049,2295,2242.449951,2258.75,2253.667725,1956668,0.070389,660
17/04/23,2258.75,2273.800049,2201.149902,2214,2209.018555,4125850,0.070389,1410
18/04/23,2220,2230,2188,2216.600098,2211.612793,2848601,0.070389,999
19/04/23,2208.100098,2235,2208.100098,2219.600098,2214.605957,1970015,0.070389,1114
20/04/23,2225,2251.449951,2222.25,2232.75,2227.726318,1898996,0.070389,823
21/04/23,2240.149902,2243,2202,2215.199951,2210.21582,1009316,0.070389,795
24/04/23,2220,2232.699951,2186.550049,2228.899902,2223.884766,1239073,0.070389,1188
25/04/23,2231.050049,2254,2218.100098,2247.949951,2242.89209,1350118,0.070389,1045
26/04/23,2247.850098,2287.300049,2244.050049,2276.149902,2271.028564,1894812,0.070389,1194
27/04/23,2275.75,2310,2267.100098,2305.600098,2300.412354,1252989,0.070389,1014
28/04/23,2312.300049,2369,2312.300049,2364.399902,2359.080078,2884961,0.070389,1272
02/05/23,2373.199951,2416.350098,2373.199951,2384.449951,2379.084961,1840153,0.070389,2215
03/05/23,2384.100098,2390,2348.5,2356.300049,2350.998291,998235,0.070389,2418
04/05/23,2361.800049,2381.649902,2342.850098,2356.899902,2351.596924,1230912,0.070389,2226
05/05/23,2357,2406.949951,2357,2377.5,2372.150635,2425866,0.070389,1536
08/05/23,2377.449951,2385,2354.050049,2365.399902,2360.077637,1583576,0.070389,2078
09/05/23,2367.649902,2401.899902,2367.649902,2374.350098,2369.007813,1417301,0.070389,1843
10/05/23,2387,2388.949951,2350,2364.449951,2359.129883,1675409,0.070389,1839
11/05/23,2300,2314.050049,2237.350098,2242.149902,2237.10498,9470848,0.070389,2319
12/05/23,2222.649902,2235,2197.350098,2221.100098,2216.102539,5367292,0.070389,152
15/05/23,2220.899902,2260,2215,2246.850098,2241.794678,2662740,0.070389,1427
